,Date,Close,Open,High,Low,Volume,Change
0,2008-01-01,,,,,,
1,2008-01-02,3.76,3.79,3.89,3.66,12530000.0,-0.0105
2,2008-01-03,3.72,3.99,4.04,3.66,21340000.0,-0.0106
3,2008-01-04,3.52,3.72,3.8,3.48,17210000.0,-0.0538
4,2008-01-05,,,,,,
5,2008-01-06,,,,,,
6,2008-01-07,3.55,3.53,3.56,3.39,12690000.0,0.0085
7,2008-01-08,3.33,3.54,3.55,3.25,14490000.0,-0.062
8,2008-01-09,3.29,3.32,3.36,3.1,15200000.0,-0.012
9,2008-01-10,3.53,3.23,3.57,3.18,13380000.0,0.0729
10,2008-01-11,3.34,3.5,3.52,3.34,8980000.0,-0.0538
11,2008-01-12,,,,,,
12,2008-01-13,,,,,,
13,2008-01-14,3.25,3.41,3.49,3.25,16170000.000000002,-0.0269
14,2008-01-15,3.15,3.23,3.31,2.96,37900000.0,-0.0308
15,2008-01-16,3.15,3.08,3.22,3.0,17960000.0,0.0
16,2008-01-17,3.11,3.13,3.23,3.09,11840000.0,-0.0127
17,2008-01-18,3.12,3.12,3.24,3.08,12500000.0,0.0032
18,2008-01-19,,,,,,
19,2008-01-20,,,,,,
20,2008-01-21,,,,,,
21,2008-01-22,3.19,3.03,3.25,2.91,14150000.0,0.022400000000000003
22,2008-01-23,3.39,3.15,3.4,3.0,29400000.0,0.06269999999999999
23,2008-01-24,3.13,3.38,3.39,3.07,38930000.0,-0.0767
24,2008-01-25,3.11,3.18,3.24,3.02,19870000.0,-0.0064
25,2008-01-26,,,,,,
26,2008-01-27,,,,,,
27,2008-01-28,3.28,3.16,3.29,3.08,11650000.0,0.0547
28,2008-01-29,3.31,3.3,3.32,3.24,7080000.0,0.0091
29,2008-01-30,3.28,3.34,3.36,3.22,9310000.0,-0.0091
30,2008-01-31,3.59,3.22,3.62,3.16,23220000.0,0.09449999999999999
31,2008-02-01,3.63,3.54,3.66,3.51,12620000.0,0.0111
32,2008-02-02,,,,,,
33,2008-02-03,,,,,,
34,2008-02-04,3.7,3.63,3.74,3.61,11880000.0,0.019299999999999998
35,2008-02-05,3.61,3.64,3.68,3.54,8940000.0,-0.024300000000000002
